name,kind,lat,lon,province,temp,wind,climate
Lầu Ông Hoàng,castle,10.9347126,108.144982,Bình Thuận,24.2,5.0,warm
Tháp Po Sah Inư,ruins,10.9360535,108.1461223,Bình Thuận,24.5,4.4,warm
Tượng Phật Bà,monument,10.9237795,108.0954176,Bình Thuận,24.7,4.4,warm
White Dunes,attraction,11.0678842,108.4273029,Bình Thuận,26.0,3.3,warm
Mũi Kê Gà,cape,10.6998411,107.9931295,Bình Thuận,24.7,4.4,warm
Tháp nước Phan Thiết,yes,10.9287668,108.1000173,Bình Thuận,24.6,4.4,warm
Bảo tàng Hồ Chí Minh,museum,10.9286452,108.0953332,Bình Thuận,24.8,4.4,warm
Tượng đài Chiến Thắng,monument,10.9295791,108.1042775,Bình Thuận,24.7,4.4,warm
Vita Garden Mini-park,park,10.9543324,108.2587827,Bình Thuận,25.1,3.9,warm
Ta Cu Moutain,attraction,10.8345222,107.8703156,Bình Thuận,25.0,0.8,warm
Fairy Stream,attraction,10.9520082,108.2567008,Bình Thuận,25.2,3.9,warm
Núi Hồ Linh,mountain,10.510745,107.5032561,Bình Thuận,24.5,3.4,warm
Bãi biển Đồi Dương Thị Xã Lagi,artwork,10.7063765,107.8415884,Bình Thuận,25.1,2.9,warm
Dragon Fruit Plantage,attraction,11.1907698,108.0740317,Bình Thuận,22.4,5.9,cool
Bãi Suối Ồ - Sông Lô,beach,10.5659429,107.5673747,Bình Thuận,25.9,4.0,warm
Bia chiến thắng Đèo Bảo Lộc,monument,11.4633252,107.7303494,Bình Thuận,21.7,7.1,cool
Biển Hồ Hô Tram Camping,camp_site,10.5322922,107.5364244,Bình Thuận,26.5,7.7,warm
Tượng đài Việt Quốc Công,monument,10.9274792,108.1167763,Bình Thuận,24.7,4.4,warm
Công viên Hòa Bình,park,10.9294288,108.1152186,Bình Thuận,24.7,4.4,warm
Novadream,park,10.8491269,108.0424732,Bình Thuận,24.5,4.4,warm
Đồi cát bay Mũi Né,attraction,10.9476754,108.2933338,Bình Thuận,24.9,3.9,warm
Đèo Hải Vân,attraction,16.1874495,108.1307217,Đà Nẵng,17.1,3.8,cool
Mũi Đà Nẵng,cape,16.117875,108.3386414,Đà Nẵng,23.1,8.2,warm
Ban Co Peak,peak,16.1189286,108.2720036,Đà Nẵng,15.3,4.6,cold
Bãi Nam,viewpoint,16.1027134,108.2951213,Đà Nẵng,18.8,5.3,cool
Động Âm Phủ,cave,16.0031975,108.2639113,Đà Nẵng,19.4,3.9,cool
Linh Nham Cave,cave,16.0042103,108.2630874,Đà Nẵng,19.4,3.9,cool
Núi Bà Nà,attraction,15.9982174,107.9856335,Đà Nẵng,10.8,3.8,cold
Thanh Ha Pottery Village,attraction,15.8771257,108.2989875,Đà Nẵng,20.9,4.6,cool
Non Nuoc Beach,beach,16.0205336,108.261744,Đà Nẵng,20.6,4.6,cool
Bảo tàng Mỹ Thuật Đà nẵng,artwork,16.0712623,108.2177145,Đà Nẵng,18.8,5.3,cool
Hoi An Old Town,attraction,15.8779509,108.3239898,Đà Nẵng,20.6,4.6,cool
Trung tâm Giải trí Phức hợp Helio Center,park,16.0364559,108.2246715,Đà Nẵng,20.6,4.6,cool
Fishing Village and Fleet,attraction,16.1017543,108.2589632,Đà Nẵng,18.8,5.3,cool
Tien Son Bridge,attraction,16.0352694,108.2352722,Đà Nẵng,20.6,4.6,cool
Núi Thần Tài,attraction,15.9681262,108.0196301,Đà Nẵng,18.4,5.3,cool
Chợ Đêm,attraction,15.8757772,108.3259285,Đà Nẵng,20.6,4.6,cool
Sun World Asia Park,park,16.0399668,108.2268339,Đà Nẵng,20.6,4.6,cool
Phố cổ Hội An,attraction,15.8784139,108.3234141,Đà Nẵng,20.6,4.6,cool
Han Swinging Bridge,attraction,16.0721398,108.2268106,Đà Nẵng,18.8,5.3,cool
Chợ đêm Helio,attraction,16.0371449,108.2244066,Đà Nẵng,20.6,4.6,cool
Chùa Linh Ứng, pagoda, 16.099646, 108.276998, Đà Nẵng,,,unknown
Bảo tàng Đà Nẵng,museum,16.0763269,108.221568,Đà Nẵng,18.8,5.3,cool
Sun World Bà Nà Hills,park,15.9956307,107.9897217,Đà Nẵng,11.7,4.1,cold
Hải Vân Quan,attraction,16.1877471,108.1312899,Đà Nẵng,20.0,7.2,cool
Núi Đôi,peak,21.2576705,105.8641682,Hà Nội,17.0,4.3,cool
Đài Tưởng Niệm Chủ Tịch Hồ Chí Minh,monument,20.9704922,105.8310021,Hà Nội,16.9,3.9,cold
Tháp Bút,attraction,21.0306387,105.8533875,Hà Nội,16.8,3.9,cold
Tượng Đức Mẹ,memorial,21.0289049,105.8493496,Hà Nội,16.8,3.9,cold
Tượng thiền sư Lý Vạn Hạnh,monument,21.1379255,105.9829214,Hà Nội,17.8,5.6,cool
Lăng Cả,tomb,21.0956814,105.9607972,Hà Nội,17.8,5.6,cool
Điện Kính Thiên,ruins,21.0367885,105.8404345,Hà Nội,16.8,3.9,cold
Làng mây tre đan Phú Vinh,attraction,20.9364693,105.6475969,Hà Nội,14.6,4.5,cold
Đền Gióng Phù Đổng,attraction,21.0553833,105.9613045,Hà Nội,18.0,6.2,cool
Lotte World Aquarium,park,21.0757951,105.8125879,Hà Nội,17.0,5.0,cool
Xác máy bay B52,attraction,21.0379386,105.8270934,Hà Nội,16.8,3.9,cold
Núi Đền,peak,21.2876414,105.8223183,Hà Nội,15.1,4.5,cold
Tháp Đồng Hồ,attraction,20.9573147,105.9830321,Hà Nội,18.1,6.2,cool
Cổng tam quan,attraction,20.8075268,105.8517377,Hà Nội,16.2,5.8,cold
Cầu Thê Húc,attraction,21.0307813,105.8527835,Hà Nội,16.9,3.9,cold
Lăng Chủ tịch Hồ Chí Minh,attraction,21.0367617,105.8346919,Hà Nội,16.8,3.9,cold
Phủ Chủ Tịch,attraction,21.0393019,105.8344412,Hà Nội,16.8,3.9,cold
Nhà hát Lớn,attraction,21.0241925,105.857823,Hà Nội,16.8,3.9,cold
Nhà sàn Bác Hồ,attraction,21.0381713,105.833152,Hà Nội,16.8,3.9,cold
Bảo tàng Hà Nội,museum,21.010013,105.786309,Hà Nội,16.9,3.9,cold
Nhà tù Hỏa Lò,museum,21.0253763,105.8464274,Hà Nội,16.8,3.9,cold
Hoàng thành Thăng Long,attraction,21.0357532,105.8402425,Hà Nội,16.9,3.9,cold
Chùa Một Cột,attraction,21.0358556,105.8336144,Hà Nội,16.9,3.9,cold
Khuê Văn Các,attraction,21.0285826,105.8358894,Hà Nội,16.8,3.9,cold
Co Loa Citadel,attraction,21.1139213,105.8735561,Hà Nội,17.0,5.0,cool
Thiên đường Bảo Sơn,park,20.9981551,105.7319783,Hà Nội,16.9,3.9,cold
Bãi đá Sông Hồng,camp_site,21.0784083,105.8352103,Hà Nội,17.0,5.0,cool
Quảng trường Ba Đình,attraction,21.0369875,105.8358029,Hà Nội,16.9,3.9,cold
Phố đường tàu Hà Nội,attraction,21.0299738,105.8431281,Hà Nội,16.8,3.9,cold
Vinpearl Aquarium Times City,park,20.9964112,105.8679407,Hà Nội,16.9,3.9,cold
Lăng Tự Đức,tomb,16.4331813,107.5645857,Huế,19.4,4.2,cool
Tử Cấm Thành,attraction,16.4694914,107.577755,Huế,21.2,4.2,cool
Temple of Literature,monument,16.452965,107.538902,Huế,19.2,5.5,cool
Đồi Vọng Cảnh,peak,16.4352692,107.562407,Huế,20.0,3.3,cool
Hoàng Thành Huế,museum,16.4689726,107.5781266,Huế,21.2,4.2,cool
Lăng vua Gia Long,attraction,16.3620472,107.5969243,Huế,19.5,4.2,cool
Quoc Hoc,attraction,16.4609446,107.5825343,Huế,21.3,4.2,cool
Cầu Vĩ Dạ,attraction,16.4714657,107.5997497,Huế,21.3,4.2,cool
Khai Dinh Tomb,tomb,16.3992686,107.5905785,Huế,19.4,4.2,cool
Chợ Đông Ba,attraction,16.4725333,107.5886564,Huế,21.2,4.2,cool
Bảo tàng Hồ Chí Minh,museum,16.4596249,107.5811082,Huế,21.2,4.2,cool
Quốc Tử Giám,attraction,16.4705977,107.5824866,Huế,21.2,4.2,cool
Điện Thái Hòa,attraction,16.4687434,107.5783867,Huế,21.2,4.2,cool
Biển Lăng Cô,beach,16.278286, 108.061393, Huế,,,unknown
Dinh Bao Dai 1,castle,11.9444549,108.4698681,Lâm Đồng,15.8,11.0,cold
Bảo Tàng Lâm Đồng,museum,11.9405756,108.4599038,Lâm Đồng,15.9,11.0,cold
Thung Lũng Tình Yêu,peak,11.9781853,108.4499229,Lâm Đồng,15.9,11.0,cold
Núi Lang Biang,peak,12.0472573,108.4405826,Lâm Đồng,14.8,4.7,cold
Thác Dambri,viewpoint,11.642191,107.7428354,Lâm Đồng,21.4,6.5,cool
Thung Lũng Vàng,attraction,12.0067009,108.3827889,Lâm Đồng,15.7,11.0,cold
Ma Rừng Lữ Quán,attraction,12.0026337,108.3473592,Lâm Đồng,16.4,11.0,cold
cây thông cô đơn,attraction,12.0206505,108.3842224,Lâm Đồng,15.8,11.0,cold
Ga Đà Lạt,attraction,11.9415603,108.4542354,Lâm Đồng,16.0,11.0,cold
Tuyệt Tình Cốc,viewpoint,12.0464933,108.3386222,Lâm Đồng,18.1,4.7,cool
Đài Đức Mẹ,artwork,11.9364727,108.4211912,Lâm Đồng,16.0,11.0,cold
Đồi Cù,peak,11.9467725,108.4446208,Lâm Đồng,16.0,11.0,cold
Hồ Tuyền Lâm,viewpoint,11.8995542,108.4372983,Lâm Đồng,16.8,5.9,cold
Prenn,attraction,11.8746663,108.4721262,Lâm Đồng,18.0,5.9,cool
Chợ đêm Da Lat,attraction,11.9418082,108.4370967,Lâm Đồng,15.4,11.0,cold
Crazy House,museum,11.9345706,108.4306649,Lâm Đồng,15.9,11.0,cold
Nhà lao thiếu nhi Đà Lạt,museum,11.9521331,108.4706527,Lâm Đồng,16.0,11.0,cold
Bãi Tiên,picnic_site,12.2967642,109.2348449,Nha Trang,20.4,12.0,cool
Mũi Đôi,cape,12.6481985,109.4616121,Nha Trang,24.5,25.5,warm
VinPearl,park,12.2167276,109.2399577,Nha Trang,20.5,12.0,cool
Mũi Kê Gà,cape,12.3054293,109.242305,Nha Trang,20.5,12.0,cool
Bán Đảo Hòn Gốm,attraction,12.6482916,109.4249862,Nha Trang,22.0,15.3,cool
Khu du lịch Thác Yang Bay,attraction,12.1947322,108.9173118,Nha Trang,22.0,5.1,cool
Monkey Island,attraction,12.3597651,109.2136043,Nha Trang,22.5,7.6,cool
Bãi dài nha trang,artwork,12.1158777,109.1950611,Nha Trang,20.5,12.0,cool
Bịp Sơn.,camp_site,12.7115092,109.2956674,Nha Trang,22.5,2.3,cool
Bãi Rạng - Hòn Ghềnh,attraction,12.6509905,109.4581213,Nha Trang,24.5,25.5,warm
Vịnh Nha Trang,bay,12.2566743,109.2091671,Nha Trang,20.5,12.0,cool
Khu Tưởng Niệm Chiến Sĩ Gạc Ma,memorial,12.0852335,109.1924217,Nha Trang,20.4,12.0,cool
Bảo tàng Hải dương học Nha Trang,museum,12.2082555,109.2147071,Nha Trang,20.4,12.0,cool
Lăng Mẫu,memorial,20.3555875,106.0766009,Ninh Bình,17.4,3.8,cool
Suối nước nóng Kênh Gà,attraction,20.3287705,105.8300152,Ninh Bình,16.9,3.4,cold
Hang Dai,cave,20.2468209,105.9143554,Ninh Bình,16.3,2.7,cold
Chùa Nhất Trụ,attraction,20.2878492,105.9074323,Ninh Bình,16.3,2.7,cold
Khu Du lịch sinh Thái Tràng An,attraction,20.2530403,105.9181796,Ninh Bình,16.3,2.7,cold
Tam Cốc -Bích Động,attraction,20.2163426,105.937457,Ninh Bình,16.3,2.7,cold
Núi Kỳ Lân,peak,20.2641952,105.9677606,Ninh Bình,16.1,2.3,cold
Trang An,attraction,20.2531609,105.9179932,Ninh Bình,16.3,2.7,cold
Đền vua Đinh,museum,20.28811,105.9124347,Ninh Bình,16.3,2.7,cold
CƠ SỞ BẢO TỒN GẤU Ninh Bình,attraction,20.2078516,105.7633634,Ninh Bình,16.2,3.7,cold
Làng nghề sơn mài Cát Đằng,attraction,20.2974936,106.0294016,Ninh Bình,16.1,2.3,cold
Làng nghề dệt chiếu Nga Sơn,attraction,20.0083366,105.970651,Ninh Bình,19.4,3.0,cool
Dot Cave,cave,20.257273,105.9067478,Ninh Bình,16.2,2.9,cold
Đồi Thung Thi,peak,20.0269821,105.7907521,Ninh Bình,16.0,2.9,cold
Điện Tam Thế,attraction,20.2738547,105.8646942,Ninh Bình,15.7,2.9,cold
Chùa Bái Đính,attraction,20.2736649,105.8643917,Ninh Bình,15.7,2.9,cold
Đền vua Đinh Tiên Hoàng,attraction,20.284612,105.9051374,Ninh Bình,16.2,2.9,cold
Cố đô Hoa Lư,attraction,20.2828485,105.9017497,Ninh Bình,16.1,2.9,cold
Động Phong Nha,cave,17.5813674,106.2830788,Quảng Bình,18.0,4.6,cool
Hang Sơn Đoòng,cave,17.456944,106.2875,Quảng Bình,15.1,12.3,cold
Động Thiên Đường,cave,17.5192008,106.223045,Quảng Bình,16.3,7.6,cold
Động Tiên Sơn,cave,17.5802528,106.282071,Quảng Bình,17.1,7.6,cool
Hang 8 cô,attraction,17.5038683,106.2617412,Quảng Bình,17.7,4.6,cool
Suoi Nuoc Mooc,monument,17.5553924,106.2357356,Quảng Bình,17.7,4.6,cool
Hang Én Cave,attraction,17.441321,106.292725,Quảng Bình,15.9,12.3,cold
Bia di tích chiến thắng Khe Gát,memorial,17.6605639,106.2574276,Quảng Bình,18.1,4.6,cool
Bãi biển Nhật Lệ,beach,17.491054,106.627149,Quảng Bình,17.5,9.0,cool
Vịnh Hạ Long,attraction,20.9084384,107.0682782,Quảng Ninh,18.8,4.7,cool
Động Hoa Cương,cave,20.8382771,106.9842347,Quảng Ninh,18.5,4.7,cool
Hang Sửng Sốt,cave,20.8439972,107.091255,Quảng Ninh,18.4,4.7,cool
Núi Cao Vọng,peak,20.8398363,107.0065981,Quảng Ninh,18.5,3.1,cool
Dong Thien Long,cave,20.8346326,106.9387017,Quảng Ninh,18.5,4.7,cool
Núi Bài Thơ,peak,20.9483211,107.0782931,Quảng Ninh,19.0,3.1,cool
Đồi Thiên Văn,peak,20.8058209,106.6301714,Quảng Ninh,15.6,6.2,cold
Núi Yên Tử,peak,21.1607827,106.7149285,Quảng Ninh,9.8,6.2,extremely cold
Hòn Gà Chọi,museum,20.8974878,107.0317965,Quảng Ninh,18.5,2.9,cool
Bảo tàng Quảng Ninh,museum,20.9486771,107.0975562,Quảng Ninh,18.7,4.7,cool
Cat Ba Island,viewpoint,20.7221491,107.0543571,Quảng Ninh,17.8,2.9,cool
Old Mosque,attraction,20.8563437,106.6845939,Quảng Ninh,18.7,2.9,cool
Bãi Đá Đen,beach,21.4370451,107.9777164,Quảng Ninh,16.2,5.4,cold
Bảo tàng Chiến thắng Bạch Đằng,museum,20.9627326,106.7610235,Quảng Ninh,17.9,3.3,cool
Tháp Đồng Hồ,attraction,20.9516105,107.0851999,Quảng Ninh,18.7,4.7,cool
Sunworld,park,20.9518994,107.0483086,Quảng Ninh,18.8,4.7,cool
